country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Morocco;73.5;73.7;74;36;37;40;0;0;0;4.5;4.5;5;3.87;4.17;4.39;39.6;39.6;39.6;93.4;0;0;0;0.0323;0.0322;0.0319
Mozambique;56.2;57.3;58.4;31;27;25;0;0;0;4;4;4;5.39;5.01;5.33;53.2;53.7;54;34.9;0;0;0;0.00906;0.0102;0.0103
Myanmar;67.8;68.3;68.5;22;28;30;0;0;0.0767;5.5;5;5;5.69;5.69;5.69;38.1;38.1;38.1;4.19;31.7;0;25.5;0;0;0
Namibia;65.5;66.2;66.5;53;52;51;0;0;0;2;2;2;3.63;3.71;3.79;59.5;59.3;59.1;254;47.3;0;0;0.044;0.0376;0.0343
Nepal;69.6;70.6;70.9;27;29;31;0.124;0;0;3.5;3.5;3.5;2.94;2.99;3.43;32.8;32.8;32.8;21.8;0;0;0;0.0156;0.017;0.0173
Netherlands;81.5;81.5;81.5;84;83;82;0.168;0.167;0;1;1;1;1.39;1.53;1.62;28.3;28.3;28.2;3990;23;22.9;23.3;0.0113;0.0116;0.0116
New Zealand;81.5;81.7;81.6;91;90;89;0.183;0.203;0;1;1;1;2.19;1.78;1.73;34.5;34.8;35;2510;;;;0.0115;0.0118;0.0121
Nicaragua;78.1;78.5;78.8;27;26;26;0;0;0;3.5;4.5;4.5;2.92;2.65;2.66;46.1;46.2;46.2;0;0;0;0;0.00784;0.00645;0.00625
Niger;61.3;61.9;62.4;34;35;33;0.225;0.165;0.133;3.5;4;4;2.74;10.8;8.56;34.1;34.3;34.3;18.8;0;0;0;0;0.0221;0.0246
Nigeria;63.4;63.9;64.3;26;28;27;;;;4.5;4;4;4.16;4;4.04;43;43;43;46;0;0;0;0.00418;0.00433;0.00431
North Korea;71.6;71.8;72;8;12;17;;;;7;7;7;0;0;0;37;37;37;;;;;;;
North Macedonia;76.5;76.3;76.5;42;37;35;;;;3.5;3.5;3.5;3.21;3.59;3.75;35.8;35.6;35.6;504;24.8;24.1;23.8;0.00993;0.0097;0.00897
Norway;82.3;82.4;82.3;88;85;85;0.215;0.217;0;1;1;1;0.745;0.861;0.936;27.1;27.4;27.5;4550;22.3;23.1;21.6;0.0151;0.0163;0.0162
Oman;76.4;76.9;77.1;45;45;44;0;0.318;0;5.5;5.5;5.5;0.125;0.789;0.829;40;40;40;479;;;;0.109;0.12;0.0961
Pakistan;66;66.4;66.8;30;32;32;0.081;0;0;4.5;4.5;4.5;1.67;1.91;2.71;32.1;32.6;33.2;22.6;28.9;0;0;0.0355;0.0359;0.0377
Panama;78.9;79.1;79.3;39;38;37;0;0;0;2;2;2;5.01;4.52;4.32;50.7;50.5;50.5;844;39;37.9;37.7;0;0;0
